attribute,height_inches,associated_attribute,max_delta
BallControl,83,PostControl,15
BallControl,84,SpeedWithBall,25
BallControl,84,PassAccuracy,25
BallControl,84,DrivingLayup,15
BallControl,84,PostControl,10
BallControl,85,SpeedWithBall,30
BallControl,85,PassAccuracy,25
BallControl,85,DrivingLayup,15
BallControl,85,PostControl,5
BallControl,86,SpeedWithBall,35
BallControl,86,PassAccuracy,25
BallControl,86,DrivingLayup,15
BallControl,86,PostControl,5
BallControl,87,SpeedWithBall,35
BallControl,87,PassAccuracy,25
BallControl,87,DrivingLayup,15
BallControl,87,PostControl,5
BallControl,88,SpeedWithBall,35
BallControl,88,PassAccuracy,25
BallControl,88,DrivingLayup,15
BallControl,88,PostControl,5
Block,69,Vertical,30
Block,69,InteriorDefense,30
Block,69,ReboundDefense,25
Block,69,Steal,20
Block,70,Vertical,30
Block,70,InteriorDefense,30
Block,70,ReboundDefense,25
Block,70,Steal,20
Block,71,Vertical,30
Block,71,InteriorDefense,30
Block,71,ReboundDefense,25
Block,71,Steal,20
Block,72,Vertical,30
Block,72,InteriorDefense,30
Block,72,ReboundDefense,25
Block,72,Steal,20
Block,73,Vertical,30
Block,73,InteriorDefense,30
Block,73,ReboundDefense,25
Block,73,Steal,20
Block,74,Vertical,30
Block,74,InteriorDefense,30
Block,74,ReboundDefense,25
Block,74,Steal,20
Block,75,Vertical,30
Block,75,InteriorDefense,30
Block,75,ReboundDefense,25
Block,75,Steal,20
Block,76,Vertical,30
Block,76,InteriorDefense,25
Block,76,ReboundDefense,25
Block,76,Steal,20
Block,77,Vertical,30
Block,77,InteriorDefense,20
Block,77,ReboundDefense,25
Block,77,Steal,25
Block,78,Vertical,30
Block,78,InteriorDefense,20
Block,78,ReboundDefense,25
Block,78,Steal,35
Block,79,Vertical,30
Block,79,InteriorDefense,20
Block,79,ReboundDefense,25
Block,79,Steal,35
Block,80,Vertical,30
Block,80,InteriorDefense,20
Block,80,ReboundDefense,25
Block,80,Steal,45
Block,81,Vertical,30
Block,81,InteriorDefense,20
Block,81,ReboundDefense,25
Block,81,Steal,45
Block,82,Vertical,30
Block,82,InteriorDefense,20
Block,82,ReboundDefense,25
Block,82,Steal,45
Block,83,Vertical,30
Block,83,InteriorDefense,20
Block,83,ReboundDefense,25
Block,83,Steal,55
Block,84,Vertical,30
Block,84,InteriorDefense,20
Block,84,ReboundDefense,25
Block,84,Steal,55
Block,85,Vertical,30
Block,85,InteriorDefense,15
Block,85,ReboundDefense,25
Block,85,Steal,55
Block,86,Vertical,35
Block,86,InteriorDefense,15
Block,86,ReboundDefense,25
Block,86,Steal,55
Block,87,Vertical,40
Block,87,InteriorDefense,15
Block,87,ReboundDefense,25
Block,87,Steal,55
Block,88,Vertical,40
Block,88,InteriorDefense,15
Block,88,ReboundDefense,25
Block,88,Steal,55
DrivingDunk,69,DrivingLayup,20
DrivingDunk,69,Vertical,20
DrivingDunk,69,ShotClose,15
DrivingDunk,69,BallControl,5
DrivingDunk,69,Strength,50
DrivingDunk,70,DrivingLayup,20
DrivingDunk,70,Vertical,20
DrivingDunk,70,ShotClose,15
DrivingDunk,70,BallControl,5
DrivingDunk,70,Strength,50
DrivingDunk,71,DrivingLayup,20
DrivingDunk,71,Vertical,20
DrivingDunk,71,ShotClose,15
DrivingDunk,71,BallControl,5
DrivingDunk,71,Strength,50
DrivingDunk,72,DrivingLayup,20
DrivingDunk,72,Vertical,20
DrivingDunk,72,ShotClose,15
DrivingDunk,72,BallControl,5
DrivingDunk,72,Strength,50
DrivingDunk,73,DrivingLayup,20
DrivingDunk,73,Vertical,20
DrivingDunk,73,ShotClose,15
DrivingDunk,73,BallControl,5
DrivingDunk,73,StandingDunk,60
DrivingDunk,73,Strength,50
DrivingDunk,74,DrivingLayup,20
DrivingDunk,74,Vertical,20
DrivingDunk,74,ShotClose,15
DrivingDunk,74,BallControl,5
DrivingDunk,74,StandingDunk,55
DrivingDunk,74,Strength,50
DrivingDunk,75,DrivingLayup,20
DrivingDunk,75,Vertical,20
DrivingDunk,75,ShotClose,15
DrivingDunk,75,BallControl,10
DrivingDunk,75,StandingDunk,55
DrivingDunk,75,Strength,50
DrivingDunk,76,DrivingLayup,20
DrivingDunk,76,Vertical,20
DrivingDunk,76,ShotClose,15
DrivingDunk,76,BallControl,10
DrivingDunk,76,StandingDunk,55
DrivingDunk,76,Strength,45
DrivingDunk,77,DrivingLayup,20
DrivingDunk,77,Vertical,20
DrivingDunk,77,ShotClose,20
DrivingDunk,77,BallControl,15
DrivingDunk,77,StandingDunk,55
DrivingDunk,77,Strength,45
DrivingDunk,78,DrivingLayup,20
DrivingDunk,78,Vertical,20
DrivingDunk,78,ShotClose,20
DrivingDunk,78,BallControl,25
DrivingDunk,78,StandingDunk,50
DrivingDunk,78,Strength,45
DrivingDunk,79,DrivingLayup,20
DrivingDunk,79,Vertical,20
DrivingDunk,79,ShotClose,20
DrivingDunk,79,BallControl,25
DrivingDunk,79,StandingDunk,50
DrivingDunk,79,Strength,45
DrivingDunk,80,DrivingLayup,20
DrivingDunk,80,Vertical,20
DrivingDunk,80,ShotClose,20
DrivingDunk,80,BallControl,35
DrivingDunk,80,StandingDunk,40
DrivingDunk,80,Strength,40
DrivingDunk,81,DrivingLayup,20
DrivingDunk,81,Vertical,20
DrivingDunk,81,ShotClose,20
DrivingDunk,81,BallControl,40
DrivingDunk,81,StandingDunk,35
DrivingDunk,81,Strength,40
DrivingDunk,82,DrivingLayup,20
DrivingDunk,82,Vertical,20
DrivingDunk,82,ShotClose,20
DrivingDunk,82,BallControl,40
DrivingDunk,82,StandingDunk,30
DrivingDunk,82,Strength,30
DrivingDunk,83,DrivingLayup,20
DrivingDunk,83,Vertical,20
DrivingDunk,83,ShotClose,20
DrivingDunk,83,BallControl,40
DrivingDunk,83,StandingDunk,25
DrivingDunk,83,Strength,30
DrivingDunk,84,DrivingLayup,20
DrivingDunk,84,Vertical,20
DrivingDunk,84,ShotClose,20
DrivingDunk,84,BallControl,40
DrivingDunk,84,StandingDunk,15
DrivingDunk,84,Strength,30
DrivingDunk,85,DrivingLayup,20
DrivingDunk,85,Vertical,20
DrivingDunk,85,ShotClose,20
DrivingDunk,85,BallControl,40
DrivingDunk,85,StandingDunk,10
DrivingDunk,85,Strength,30
DrivingDunk,86,DrivingLayup,20
DrivingDunk,86,Vertical,20
DrivingDunk,86,ShotClose,20
DrivingDunk,86,BallControl,40
DrivingDunk,86,StandingDunk,10
DrivingDunk,86,Strength,30
DrivingDunk,87,DrivingLayup,20
DrivingDunk,87,Vertical,20
DrivingDunk,87,ShotClose,20
DrivingDunk,87,BallControl,40
DrivingDunk,87,StandingDunk,10
DrivingDunk,87,Strength,30
DrivingDunk,88,DrivingLayup,20
DrivingDunk,88,Vertical,20
DrivingDunk,88,ShotClose,20
DrivingDunk,88,BallControl,40
DrivingDunk,88,StandingDunk,10
DrivingDunk,88,Strength,30
DrivingLayup,69,BallControl,5
DrivingLayup,69,ShotClose,20
DrivingLayup,69,Strength,65
DrivingLayup,70,BallControl,5
DrivingLayup,70,ShotClose,20
DrivingLayup,70,Strength,60
DrivingLayup,71,BallControl,5
DrivingLayup,71,ShotClose,20
DrivingLayup,71,Strength,60
DrivingLayup,72,BallControl,5
DrivingLayup,72,ShotClose,20
DrivingLayup,72,Strength,60
DrivingLayup,73,BallControl,5
DrivingLayup,73,ShotClose,20
DrivingLayup,73,Strength,55
DrivingLayup,74,BallControl,5
DrivingLayup,74,ShotClose,20
DrivingLayup,74,Strength,55
DrivingLayup,75,BallControl,10
DrivingLayup,75,ShotClose,15
DrivingLayup,75,Strength,50
DrivingLayup,76,BallControl,15
DrivingLayup,76,ShotClose,15
DrivingLayup,76,Strength,45
DrivingLayup,77,BallControl,15
DrivingLayup,77,ShotClose,15
DrivingLayup,77,Strength,45
DrivingLayup,78,BallControl,20
DrivingLayup,78,ShotClose,15
DrivingLayup,78,Strength,35
DrivingLayup,79,BallControl,25
DrivingLayup,79,ShotClose,10
DrivingLayup,79,Strength,35
DrivingLayup,80,BallControl,30
DrivingLayup,80,ShotClose,10
DrivingLayup,80,Strength,35
DrivingLayup,81,BallControl,40
DrivingLayup,81,ShotClose,10
DrivingLayup,81,Strength,35
DrivingLayup,82,BallControl,40
DrivingLayup,82,ShotClose,10
DrivingLayup,82,Strength,35
DrivingLayup,83,BallControl,40
DrivingLayup,83,ShotClose,5
DrivingLayup,83,Strength,35
DrivingLayup,84,BallControl,40
DrivingLayup,84,ShotClose,5
DrivingLayup,84,Strength,35
DrivingLayup,85,BallControl,40
DrivingLayup,85,ShotClose,5
DrivingLayup,85,Strength,35
DrivingLayup,86,BallControl,40
DrivingLayup,86,ShotClose,5
DrivingLayup,86,Strength,35
DrivingLayup,87,BallControl,40
DrivingLayup,87,ShotClose,5
DrivingLayup,87,Strength,35
DrivingLayup,88,BallControl,40
DrivingLayup,88,ShotClose,5
DrivingLayup,88,Strength,35
InteriorDefense,69,Strength,20
InteriorDefense,69,PerimeterDefense,50
InteriorDefense,69,Block,30
InteriorDefense,69,ReboundDefense,20
InteriorDefense,69,Steal,45
InteriorDefense,70,Strength,20
InteriorDefense,70,PerimeterDefense,50
InteriorDefense,70,Block,30
InteriorDefense,70,ReboundDefense,20
InteriorDefense,70,Steal,45
InteriorDefense,71,Strength,20
InteriorDefense,71,PerimeterDefense,50
InteriorDefense,71,Block,30
InteriorDefense,71,ReboundDefense,20
InteriorDefense,71,Steal,45
InteriorDefense,72,Strength,20
InteriorDefense,72,PerimeterDefense,50
InteriorDefense,72,Block,30
InteriorDefense,72,ReboundDefense,20
InteriorDefense,72,Steal,45
InteriorDefense,73,Strength,20
InteriorDefense,73,PerimeterDefense,50
InteriorDefense,73,Block,30
InteriorDefense,73,ReboundDefense,20
InteriorDefense,73,Steal,45
InteriorDefense,74,Strength,20
InteriorDefense,74,PerimeterDefense,50
InteriorDefense,74,Block,30
InteriorDefense,74,ReboundDefense,20
InteriorDefense,74,Steal,45
InteriorDefense,75,Strength,20
InteriorDefense,75,PerimeterDefense,50
InteriorDefense,75,Block,30
InteriorDefense,75,ReboundDefense,20
InteriorDefense,75,Steal,45
InteriorDefense,76,Strength,20
InteriorDefense,76,PerimeterDefense,50
InteriorDefense,76,Block,30
InteriorDefense,76,ReboundDefense,20
InteriorDefense,76,Steal,45
InteriorDefense,77,Strength,20
InteriorDefense,77,PerimeterDefense,50
InteriorDefense,77,Block,30
InteriorDefense,77,ReboundDefense,20
InteriorDefense,77,Steal,45
InteriorDefense,78,Strength,20
InteriorDefense,78,PerimeterDefense,50
InteriorDefense,78,Block,30
InteriorDefense,78,ReboundDefense,20
InteriorDefense,78,Steal,45
InteriorDefense,79,Strength,20
InteriorDefense,79,PerimeterDefense,50
InteriorDefense,79,Block,30
InteriorDefense,79,ReboundDefense,20
InteriorDefense,79,Steal,45
InteriorDefense,80,Strength,20
InteriorDefense,80,PerimeterDefense,50
InteriorDefense,80,Block,30
InteriorDefense,80,ReboundDefense,20
InteriorDefense,80,Steal,45
InteriorDefense,81,Strength,20
InteriorDefense,81,PerimeterDefense,50
InteriorDefense,81,Block,30
InteriorDefense,81,ReboundDefense,20
InteriorDefense,81,Steal,45
InteriorDefense,82,Strength,20
InteriorDefense,82,PerimeterDefense,50
InteriorDefense,82,Block,30
InteriorDefense,82,ReboundDefense,20
InteriorDefense,82,Steal,45
InteriorDefense,83,Strength,20
InteriorDefense,83,PerimeterDefense,50
InteriorDefense,83,Block,30
InteriorDefense,83,ReboundDefense,20
InteriorDefense,83,Steal,45
InteriorDefense,84,Strength,20
InteriorDefense,84,PerimeterDefense,50
InteriorDefense,84,Block,30
InteriorDefense,84,ReboundDefense,20
InteriorDefense,84,Steal,45
InteriorDefense,85,Strength,20
InteriorDefense,85,PerimeterDefense,50
InteriorDefense,85,Block,30
InteriorDefense,85,ReboundDefense,20
InteriorDefense,85,Steal,45
InteriorDefense,86,Strength,20
InteriorDefense,86,PerimeterDefense,50
InteriorDefense,86,Block,30
InteriorDefense,86,ReboundDefense,20
InteriorDefense,86,Steal,45
InteriorDefense,87,Strength,20
InteriorDefense,87,PerimeterDefense,50
InteriorDefense,87,Block,30
InteriorDefense,87,ReboundDefense,20
InteriorDefense,87,Steal,45
InteriorDefense,88,Strength,20
InteriorDefense,88,PerimeterDefense,50
InteriorDefense,88,Block,30
InteriorDefense,88,ReboundDefense,20
InteriorDefense,88,Steal,45
PassAccuracy,69,BallControl,5
PassAccuracy,70,BallControl,5
PassAccuracy,71,BallControl,5
PassAccuracy,72,BallControl,5
PassAccuracy,73,BallControl,5
PassAccuracy,74,BallControl,5
PassAccuracy,75,BallControl,10
PassAccuracy,76,BallControl,10
PassAccuracy,77,BallControl,10
PassAccuracy,78,BallControl,10
PassAccuracy,79,BallControl,10
PassAccuracy,80,BallControl,20
PassAccuracy,81,BallControl,30
PassAccuracy,82,BallControl,35
PassAccuracy,83,BallControl,35
PassAccuracy,84,BallControl,35
PassAccuracy,85,BallControl,40
PassAccuracy,86,BallControl,45
PassAccuracy,87,BallControl,50
PassAccuracy,88,BallControl,50
PerimeterDefense,69,Steal,30
PerimeterDefense,69,Agility,10
PerimeterDefense,69,Strength,45
PerimeterDefense,69,InteriorDefense,55
PerimeterDefense,69,ReboundDefense,45
PerimeterDefense,69,Block,55
PerimeterDefense,70,Steal,30
PerimeterDefense,70,Agility,10
PerimeterDefense,70,Strength,45
PerimeterDefense,70,InteriorDefense,50
PerimeterDefense,70,ReboundDefense,45
PerimeterDefense,70,Block,50
PerimeterDefense,71,Steal,30
PerimeterDefense,71,Agility,10
PerimeterDefense,71,Strength,45
PerimeterDefense,71,InteriorDefense,50
PerimeterDefense,71,ReboundDefense,45
PerimeterDefense,71,Block,50
PerimeterDefense,72,Steal,30
PerimeterDefense,72,Agility,10
PerimeterDefense,72,Strength,45
PerimeterDefense,72,InteriorDefense,50
PerimeterDefense,72,ReboundDefense,45
PerimeterDefense,72,Block,50
PerimeterDefense,73,Steal,30
PerimeterDefense,73,Agility,10
PerimeterDefense,73,Strength,45
PerimeterDefense,73,InteriorDefense,50
PerimeterDefense,73,ReboundDefense,45
PerimeterDefense,73,Block,50
PerimeterDefense,74,Steal,30
PerimeterDefense,74,Agility,10
PerimeterDefense,74,Strength,40
PerimeterDefense,74,InteriorDefense,50
PerimeterDefense,74,ReboundDefense,40
PerimeterDefense,74,Block,50
PerimeterDefense,75,Steal,30
PerimeterDefense,75,Agility,10
PerimeterDefense,75,Strength,40
PerimeterDefense,75,InteriorDefense,50
PerimeterDefense,75,ReboundDefense,40
PerimeterDefense,75,Block,50
PerimeterDefense,76,Steal,30
PerimeterDefense,76,Agility,10
PerimeterDefense,76,Strength,40
PerimeterDefense,76,InteriorDefense,50
PerimeterDefense,76,ReboundDefense,40
PerimeterDefense,76,Block,50
PerimeterDefense,77,Steal,30
PerimeterDefense,77,Agility,15
PerimeterDefense,77,Strength,40
PerimeterDefense,77,InteriorDefense,50
PerimeterDefense,77,ReboundDefense,40
PerimeterDefense,77,Block,50
PerimeterDefense,78,Steal,30
PerimeterDefense,78,Agility,18
PerimeterDefense,78,Strength,35
PerimeterDefense,78,InteriorDefense,50
PerimeterDefense,78,ReboundDefense,40
PerimeterDefense,78,Block,50
PerimeterDefense,79,Steal,30
PerimeterDefense,79,Agility,20
PerimeterDefense,79,Strength,35
PerimeterDefense,79,InteriorDefense,45
PerimeterDefense,79,ReboundDefense,40
PerimeterDefense,79,Block,45
PerimeterDefense,80,Steal,30
PerimeterDefense,80,Agility,20
PerimeterDefense,80,Strength,35
PerimeterDefense,80,InteriorDefense,45
PerimeterDefense,80,ReboundDefense,30
PerimeterDefense,80,Block,45
PerimeterDefense,81,Steal,30
PerimeterDefense,81,Agility,20
PerimeterDefense,81,Strength,35
PerimeterDefense,81,InteriorDefense,40
PerimeterDefense,81,ReboundDefense,30
PerimeterDefense,81,Block,40
PerimeterDefense,82,Steal,30
PerimeterDefense,82,Agility,20
PerimeterDefense,82,Strength,35
PerimeterDefense,82,InteriorDefense,25
PerimeterDefense,82,ReboundDefense,20
PerimeterDefense,82,Block,25
PerimeterDefense,83,Steal,30
PerimeterDefense,83,Agility,20
PerimeterDefense,83,Strength,35
PerimeterDefense,83,InteriorDefense,25
PerimeterDefense,83,ReboundDefense,10
PerimeterDefense,83,Block,25
PerimeterDefense,84,Steal,30
PerimeterDefense,84,Agility,20
PerimeterDefense,84,Strength,35
PerimeterDefense,84,InteriorDefense,20
PerimeterDefense,84,ReboundDefense,10
PerimeterDefense,84,Block,20
PerimeterDefense,85,Steal,30
PerimeterDefense,85,Agility,25
PerimeterDefense,85,Strength,35
PerimeterDefense,85,InteriorDefense,20
PerimeterDefense,85,ReboundDefense,10
PerimeterDefense,85,Block,20
PerimeterDefense,86,Steal,30
PerimeterDefense,86,Agility,25
PerimeterDefense,86,Strength,35
PerimeterDefense,86,InteriorDefense,20
PerimeterDefense,86,ReboundDefense,10
PerimeterDefense,86,Block,20
PerimeterDefense,87,Steal,30
PerimeterDefense,87,Agility,25
PerimeterDefense,87,Strength,35
PerimeterDefense,87,InteriorDefense,20
PerimeterDefense,87,ReboundDefense,10
PerimeterDefense,87,Block,20
PerimeterDefense,88,Steal,30
PerimeterDefense,88,Agility,25
PerimeterDefense,88,Strength,35
PerimeterDefense,88,InteriorDefense,20
PerimeterDefense,88,ReboundDefense,10
PerimeterDefense,88,Block,20
PostControl,69,ShotClose,5
PostControl,69,BallControl,5
PostControl,69,ReboundOffense,40
PostControl,69,Strength,30
PostControl,70,ShotClose,5
PostControl,70,BallControl,5
PostControl,70,ReboundOffense,40
PostControl,70,Strength,30
PostControl,71,ShotClose,5
PostControl,71,BallControl,5
PostControl,71,ReboundOffense,40
PostControl,71,Strength,30
PostControl,72,ShotClose,5
PostControl,72,BallControl,5
PostControl,72,ReboundOffense,40
PostControl,72,Strength,30
PostControl,73,ShotClose,5
PostControl,73,BallControl,5
PostControl,73,ReboundOffense,40
PostControl,73,Strength,30
PostControl,74,ShotClose,5
PostControl,74,BallControl,5
PostControl,74,ReboundOffense,40
PostControl,74,Strength,30
PostControl,75,ShotClose,5
PostControl,75,BallControl,5
PostControl,75,ReboundOffense,40
PostControl,75,Strength,30
PostControl,76,ShotClose,5
PostControl,76,BallControl,5
PostControl,76,ReboundOffense,40
PostControl,76,Strength,30
PostControl,77,ShotClose,5
PostControl,77,BallControl,5
PostControl,77,ReboundOffense,40
PostControl,77,Strength,30
PostControl,78,ShotClose,5
PostControl,78,BallControl,10
PostControl,78,ReboundOffense,40
PostControl,78,Strength,30
PostControl,79,ShotClose,5
PostControl,79,BallControl,20
PostControl,79,ReboundOffense,40
PostControl,79,Strength,30
PostControl,80,ShotClose,5
PostControl,80,BallControl,40
PostControl,80,ReboundOffense,40
PostControl,80,Strength,30
PostControl,81,ShotClose,5
PostControl,81,BallControl,45
PostControl,81,ReboundOffense,40
PostControl,81,Strength,30
PostControl,82,ShotClose,5
PostControl,82,BallControl,45
PostControl,82,ReboundOffense,40
PostControl,82,Strength,30
PostControl,83,ShotClose,5
PostControl,83,BallControl,45
PostControl,83,ReboundOffense,40
PostControl,83,Strength,30
PostControl,84,ShotClose,5
PostControl,84,BallControl,45
PostControl,84,ReboundOffense,40
PostControl,84,Strength,30
PostControl,85,ShotClose,5
PostControl,85,BallControl,45
PostControl,85,ReboundOffense,40
PostControl,85,Strength,30
PostControl,86,ShotClose,5
PostControl,86,BallControl,45
PostControl,86,ReboundOffense,40
PostControl,86,Strength,30
PostControl,87,ShotClose,5
PostControl,87,BallControl,50
PostControl,87,ReboundOffense,40
PostControl,87,Strength,30
PostControl,88,ShotClose,5
PostControl,88,BallControl,50
PostControl,88,ReboundOffense,40
PostControl,88,Strength,30
ReboundDefense,69,ReboundOffense,25
ReboundDefense,69,Vertical,45
ReboundDefense,69,Block,40
ReboundDefense,69,InteriorDefense,25
ReboundDefense,70,ReboundOffense,25
ReboundDefense,70,Vertical,45
ReboundDefense,70,Block,40
ReboundDefense,70,InteriorDefense,25
ReboundDefense,71,ReboundOffense,25
ReboundDefense,71,Vertical,45
ReboundDefense,71,Block,40
ReboundDefense,71,InteriorDefense,25
ReboundDefense,72,ReboundOffense,25
ReboundDefense,72,Vertical,45
ReboundDefense,72,Block,40
ReboundDefense,72,InteriorDefense,25
ReboundDefense,73,ReboundOffense,25
ReboundDefense,73,Vertical,45
ReboundDefense,73,Block,40
ReboundDefense,73,InteriorDefense,25
ReboundDefense,74,ReboundOffense,25
ReboundDefense,74,Vertical,45
ReboundDefense,74,Block,40
ReboundDefense,74,InteriorDefense,25
ReboundDefense,75,ReboundOffense,25
ReboundDefense,75,Vertical,45
ReboundDefense,75,Block,40
ReboundDefense,75,InteriorDefense,25
ReboundDefense,76,ReboundOffense,25
ReboundDefense,76,Vertical,45
ReboundDefense,76,Block,40
ReboundDefense,76,InteriorDefense,25
ReboundDefense,77,ReboundOffense,25
ReboundDefense,77,Vertical,45
ReboundDefense,77,Block,40
ReboundDefense,77,InteriorDefense,25
ReboundDefense,78,ReboundOffense,25
ReboundDefense,78,Vertical,45
ReboundDefense,78,Block,40
ReboundDefense,78,InteriorDefense,25
ReboundDefense,79,ReboundOffense,25
ReboundDefense,79,Vertical,45
ReboundDefense,79,Block,40
ReboundDefense,79,InteriorDefense,25
ReboundDefense,80,ReboundOffense,25
ReboundDefense,80,Vertical,45
ReboundDefense,80,Block,40
ReboundDefense,80,InteriorDefense,25
ReboundDefense,81,ReboundOffense,25
ReboundDefense,81,Vertical,45
ReboundDefense,81,Block,40
ReboundDefense,81,InteriorDefense,25
ReboundDefense,82,ReboundOffense,25
ReboundDefense,82,Vertical,45
ReboundDefense,82,Block,40
ReboundDefense,82,InteriorDefense,25
ReboundDefense,83,ReboundOffense,25
ReboundDefense,83,Vertical,45
ReboundDefense,83,Block,40
ReboundDefense,83,InteriorDefense,25
ReboundDefense,84,ReboundOffense,25
ReboundDefense,84,Vertical,45
ReboundDefense,84,Block,40
ReboundDefense,84,InteriorDefense,25
ReboundDefense,85,ReboundOffense,25
ReboundDefense,85,Vertical,45
ReboundDefense,85,Block,40
ReboundDefense,85,InteriorDefense,25
ReboundDefense,86,ReboundOffense,25
ReboundDefense,86,Vertical,45
ReboundDefense,86,Block,40
ReboundDefense,86,InteriorDefense,25
ReboundDefense,87,ReboundOffense,25
ReboundDefense,87,Vertical,45
ReboundDefense,87,Block,40
ReboundDefense,87,InteriorDefense,25
ReboundDefense,88,ReboundOffense,25
ReboundDefense,88,Vertical,45
ReboundDefense,88,Block,40
ReboundDefense,88,InteriorDefense,25
ReboundOffense,69,ReboundDefense,15
ReboundOffense,69,Vertical,45
ReboundOffense,69,ShotClose,5
ReboundOffense,70,ReboundDefense,15
ReboundOffense,70,Vertical,45
ReboundOffense,70,ShotClose,5
ReboundOffense,71,ReboundDefense,15
ReboundOffense,71,Vertical,45
ReboundOffense,71,ShotClose,5
ReboundOffense,72,ReboundDefense,15
ReboundOffense,72,Vertical,45
ReboundOffense,72,ShotClose,5
ReboundOffense,73,ReboundDefense,15
ReboundOffense,73,Vertical,45
ReboundOffense,73,ShotClose,5
ReboundOffense,74,ReboundDefense,15
ReboundOffense,74,Vertical,45
ReboundOffense,74,ShotClose,5
ReboundOffense,75,ReboundDefense,15
ReboundOffense,75,Vertical,45
ReboundOffense,75,ShotClose,5
ReboundOffense,76,ReboundDefense,15
ReboundOffense,76,Vertical,45
ReboundOffense,76,ShotClose,5
ReboundOffense,77,ReboundDefense,15
ReboundOffense,77,Vertical,45
ReboundOffense,77,ShotClose,5
ReboundOffense,78,ReboundDefense,15
ReboundOffense,78,Vertical,45
ReboundOffense,78,ShotClose,10
ReboundOffense,79,ReboundDefense,15
ReboundOffense,79,Vertical,45
ReboundOffense,79,ShotClose,10
ReboundOffense,80,ReboundDefense,15
ReboundOffense,80,Vertical,45
ReboundOffense,80,ShotClose,15
ReboundOffense,81,ReboundDefense,15
ReboundOffense,81,Vertical,45
ReboundOffense,81,ShotClose,15
ReboundOffense,82,ReboundDefense,15
ReboundOffense,82,Vertical,45
ReboundOffense,82,ShotClose,15
ReboundOffense,83,ReboundDefense,15
